Distance,RussellSpeed,LeclercSpeed,SpeedDifference
1377.8347986875754,237.12785157842995,235.4657979057486,1.6620536726813668
1383.0341752863965,238.2110550365177,237.10425691798213,1.106798118535579
1388.2335518852174,239.29425849460537,238.29461065231885,0.9996478422865209
1393.4329284840385,240.55463797130417,238.9445327271715,1.6101052441326829
1398.6323050828594,242.1462838689024,239.5944548020241,2.551829066878298
1403.8316816816805,243.7379297665007,240.24235723326618,3.4955725332345366
1409.0310582805016,245.11721199021585,240.88690805130187,4.230303938913977
1414.2304348793225,245.68327315218426,241.5314588693375,4.151814282846743
1419.4298114781436,246.2493343141527,242.10517122060324,4.144163093549452
1424.6291880769647,246.81539547612113,242.49031022792332,4.325085248197809
1429.8285646757856,247.38145663808953,242.8754492352434,4.506007402846137
1435.0279412746067,247.94751780005794,243.56970708900514,4.377810711052803
1440.2273178734279,248.42626366326152,244.41171139650655,4.014552266754976
1445.4266944722488,248.89608684990196,245.2537157040079,3.64237114589406
1450.6260710710699,249.36444639639626,246.0957200115093,3.2687263848869748
